step,lat,lon,zoom,name
0,37.90144324,-100.13167,3.535510138,usa
1,40.78936472,-73.8898531,9.329649526,nyc
2,40.63458801,-73.95317788,11.18241386,nyc-brooklyn
3,40.71564013,-73.83284377,11.18241386,nyc-queens
4,40.78669019,-73.93994484,11.18241386,nyc-manhattan-harlem
5,40.84645088,-73.87580522,11.18241386,nyc-bronx
6,40.59065019,-74.14800067,11.18241386,nyc-staten-island
7,33.88965609,-118.2615262,9.997507549,la-1
8,33.91746725,-117.8818345,9.997507549,la-2
9,33.93046755,-117.3531964,9.997507549,la-3
10,45.02211325,-93.27039182,8.510693656,minneapolis
11,40.49270907,-111.9223091,8.967531142,slc
