X,Y,PUMA,Name,birthplace
-71.0897911629281,42.426026271047704,508,Middlesex County (East)--Malden & Medford Cities PUMA,Brazil
-71.0897911629281,42.426026271047704,508,Middlesex County (East)--Malden & Medford Cities PUMA,Uganda
-71.12684676764749,41.916233752443794,4303,"Bristol County--Taunton City, Mansfield, Norton, Raynam, Dighton & Berkley Towns PUMA",Portugal
-82.96745477287,42.4081098773401,3213,Wayne County (Northeast)--I-94 Corridor PUMA,Yemen Arab Republic (North)
-74.0072272722001,40.71737851648761,3810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA","United Kingdom, ns"
-73.99214033228971,40.7540203207099,3807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",Australia
-73.9444544754808,40.813374149434296,3803,NYC-Manhattan Community District 10--Central Harlem PUMA,Senegal
-73.9444544754808,40.813374149434296,3803,NYC-Manhattan Community District 10--Central Harlem PUMA,"Western Africa, ns"
-73.9555980208031,40.7714958044353,3805,NYC-Manhattan Community District 8--Upper East Side PUMA,Romania
-73.9750792377745,40.7453486126269,3808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",France
-74.18713454144908,40.544816580445705,3901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",Italy
-74.1337277928967,40.5936277988393,3902,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,Albania
-74.1337277928967,40.5936277988393,3902,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,Macedonia
-74.1337277928967,40.5936277988393,3902,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,Montenegro
-74.11905657281571,40.6270070030787,3903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",Sri Lanka (Ceylon)
-73.9809804805015,40.581478363726504,4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,Azerbaijan
-73.9809804805015,40.581478363726504,4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,Byelorussia
-73.9809804805015,40.581478363726504,4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,Other USSR/Russia
-73.9809804805015,40.581478363726504,4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,"USSR, ns"
-73.9809804805015,40.581478363726504,4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,Ukraine
-73.9809804805015,40.581478363726504,4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,Uzbekistan
-73.89968090625399,40.6157846543603,4009,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,"West Indies, ns"
-73.9486907146263,40.5949528909906,4016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",Kazakhstan
-73.9486907146263,40.5949528909906,4016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",Kirghizia
-73.9486907146263,40.5949528909906,4016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",Latvia
-73.9936860681618,40.606873841399704,4017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,Egypt/United Arab Rep.
-73.9936860681618,40.606873841399704,4017,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,Republic of Georgia
-73.982682374276,40.6299309168733,4014,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",Hungary
-73.94788828978692,40.6613594571528,4011,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",Panama
-73.9343030665927,40.6476771552398,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",Barbados
-73.9343030665927,40.6476771552398,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",Grenada
-73.9343030665927,40.6476771552398,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",Jamaica
-73.9343030665927,40.6476771552398,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",St. Lucia
-73.9343030665927,40.6476771552398,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",St. Vincent
-73.9343030665927,40.6476771552398,4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",Trinidad and Tobago
-73.8551236392496,40.7406285660878,4107,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,Ecuador
-82.93035382529541,39.956582536602795,4107,"Columbus (East), Whitehall & Bexley Cities PUMA",Ecuador
-73.778658259222,40.6916349970519,4112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",Bangladesh
-73.8330000302585,40.6694040317806,4113,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,Guyana/British Guiana
-84.4084695521745,39.3801191830299,5401,Butler County (Southeast)--Monroe City & Beckett Ridge PUMA,"Eastern Africa, nec/ns"
-75.4755473934473,40.5960990006376,2803,Allentown City PUMA,Puerto Rico
-75.4755473934473,40.5960990006376,2803,Allentown City PUMA,Syria
-76.8726152913172,36.752604631220606,51145,"Isle of Wight, Southampton Counties, Suffolk & Franklin Cities PUMA",United Arab Emirates
-78.87548389778459,38.5104527815501,51110,Central Shenandoah Planning District Commission (Northeast) PUMA,Zaire
-77.1755858591267,38.837568245528495,59301,"Fairfax County (East Central)--Annandale, West Falls Church & Bailey's Crossroads PUMA",Bolivia
-76.3493953338226,36.84629439716971,51155,Portsmouth & Norfolk (Southwest) Cities PUMA,Slovakia
-77.0867923319241,38.818740762195894,51255,Alexandria City PUMA,Ethiopia
-77.0867923319241,38.818740762195894,51255,Alexandria City PUMA,Ivory Coast
-77.3200291655,38.6227344096678,51246,"Prince William County (Southeast)--Dale City, Lake Ridge & Woodbridge PUMA",Ghana
-76.02815146815409,36.694167300721,51167,Virginia Beach City (South) PUMA,Turkey
-77.3754501669529,38.944977620080294,59307,Fairfax County (Northwest)--Reston (North) & Franklin Farm PUMA,Sudan
-77.45280597929559,38.85627263432,59309,Fairfax County (West Central)--Centreville (North & West) & Chantilly (South & West) PUMA,Pakistan
-116.445494692711,33.6275509669016,6515,"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA",Paraguay
