GISMATCH,GISJOIN,GEOID,STATEFIP,State,PUMA,Name,state_puma,birthplace,x,y
"600105",G06000105,"0600105","06",California,"00105","Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA","0600105",,-122.20567,37.73174
"600102",G06000102,"0600102","06",California,"00102",Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA,"0600102",,-122.27381,37.81068
"608502",G06008502,"0608502","06",California,"08502",Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities PUMA,"0608502",,-122.00351,37.40821
"600108",G06000108,"0600108","06",California,"00108","Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA","0600108",,-122.02441,37.54039
"600107",G06000107,"0600107","06",California,"00107",Alameda County (Central)--Hayward City PUMA,"0600107",,-122.05663,37.63558
"600101",G06000101,"0600101","06",California,"00101",Alameda County (North)--Berkeley & Albany Cities PUMA,"0600101",,-122.27863,37.87506
"600110",G06000110,"0600110","06",California,"00110","Alameda County (East)--Livermore, Pleasanton & Dublin Cities PUMA","0600110",,-121.72930,37.63064
"608504",G06008504,"0608504","06",California,"08504",Santa Clara County (North Central)--Milpitas & San Jose (Northeast) Cities PUMA,"0608504",,-121.87800,37.42684
"600109",G06000109,"0600109","06",California,"00109",Alameda County (South Central)--Fremont City (East) PUMA,"0600109",,-121.95135,37.54077
"600106",G06000106,"0600106","06",California,"00106","Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA","0600106",,-122.07346,37.73757
"600104",G06000104,"0600104","06",California,"00104",Alameda County (North Central)--Oakland City (South Central) PUMA,"0600104",,-122.18981,37.76212
"600103",G06000103,"0600103","06",California,"00103",Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA,"0600103",,-122.19431,37.80740
"606103",G06006103,"0606103","06",California,"06103",Placer County (East/High Country Region)--Auburn & Colfax Cities PUMA,"0606103",,-120.61687,39.10234
"606101",G06006101,"0606101","06",California,"06101",Placer County (Southwest)--Roseville City PUMA,"0606101",,-121.37763,38.82147
"606102",G06006102,"0606102","06",California,"06102","Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town PUMA","0606102",,-121.24671,38.83609
"601700",G06001700,"0601700","06",California,"01700",El Dorado County--El Dorado Hills PUMA,"0601700",,-120.52465,38.77874
"608702",G06008702,"0608702","06",California,"08702",Santa Cruz County (South & Coastal)--Santa Cruz City PUMA,"0608702",,-121.92052,36.95023
"608701",G06008701,"0608701","06",California,"08701",Santa Cruz County (North)--Watsonville & Scotts Valley Cities PUMA,"0608701",,-122.01043,37.06765
"604702",G06004702,"0604702","06",California,"04702",Merced County (Northeast)--Merced & Atwater Cities PUMA,"0604702",,-120.45661,37.42075
"604701",G06004701,"0604701","06",California,"04701",Merced County (West & South)--Los Banos & Livingston Cities PUMA,"0604701",,-120.79308,37.12573
"603300",G06003300,"0603300","06",California,"03300",Lake & Mendocino Counties PUMA,"0603300",,-123.21677,39.34709
"601500",G06001500,"0601500","06",California,"01500","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA","0601500",,-121.49352,41.15639
"601100",G06001100,"0601100","06",California,"01100","Colusa, Glenn, Tehama & Trinity Counties PUMA","0601100",,-122.58668,40.11657
"608303",G06008303,"0608303","06",California,"08303",Santa Barbara County--South Coast Region PUMA,"0608303",,-119.82157,34.19446
"608302",G06008302,"0608302","06",California,"08302","Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA","0608302",,-120.03874,34.73971
"608301",G06008301,"0608301","06",California,"08301",Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA,"0608301",,-120.44055,34.91530
"610100",G06010100,"0610100","06",California,"10100",Sutter & Yuba Counties--Yuba City PUMA,"0610100",,-121.51792,39.15531
"604101",G06004101,"0604101","06",California,"04101",Marin County (North & West)--Novato & San Rafael (North) Cities PUMA,"0604101",,-122.73939,38.08622
"604102",G06004102,"0604102","06",California,"04102","Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities PUMA","0604102",,-122.52451,37.93707
"605700",G06005700,"0605700","06",California,"05700",Nevada & Sierra Counties PUMA,"0605700",,-120.64288,39.44032
"605500",G06005500,"0605500","06",California,"05500",Napa County--Napa City PUMA,"0605500",,-122.33061,38.50730
"603100",G06003100,"0603100","06",California,"03100",Kings County--Hanford City PUMA,"0603100",,-119.81550,36.07536
"601302",G06001302,"0601302","06",California,"01302","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cites PUMA","0601302",,-122.29404,37.97083
"601301",G06001301,"0601301","06",California,"01301",Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities PUMA,"0601301",,-122.36005,37.93967
"601303",G06001303,"0601303","06",California,"01303","Contra Costa County (Northwest)--Concord (West), Martinez & Pleasant Hill Cities PUMA","0601303",,-122.16399,37.98119
"601309",G06001309,"0601309","06",California,"01309",Contra Costa County (East)--Brentwood & Oakley Cities PUMA,"0601309",,-121.64633,37.94490
"601305",G06001305,"0601305","06",California,"01305",Contra Costa County (South)--San Ramon City & Danville Town PUMA,"0601305",,-121.84782,37.80944
"601308",G06001308,"0601308","06",California,"01308",Contra Costa County (Northeast)--Antioch City PUMA,"0601308",,-121.81852,37.95310
"601306",G06001306,"0601306","06",California,"01306","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities PUMA","0601306",,-121.96905,37.91125
"601304",G06001304,"0601304","06",California,"01304","Contra Costa County--Walnut Creek (West), Lafayette, Orinda Cities & Moraga Town PUMA","0601304",,-122.10202,37.86997
"601307",G06001307,"0601307","06",California,"01307",Contra Costa County (North Central)--Pittsburg & Concord (North & East) Cities PUMA,"0601307",,-121.95805,38.00996
"607319",G06007319,"0607319","06",California,"07319","San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley PUMA","0607319",,-116.82768,32.68348
"607322",G06007322,"0607322","06",California,"07322",San Diego County (South)--San Diego City (South/Otay Mesa & South Bay) PUMA,"0607322",,-117.01537,32.56691
"607310",G06007310,"0607310","06",California,"07310",San Diego County (West)--San Diego City (Southwest/Central Coastal) PUMA,"0607310",,-117.22626,32.76960
"607307",G06007307,"0607307","06",California,"07307","San Diego County (Central)--Lakeside, Winter Gardens & Ramona PUMA","0607307",,-116.86073,32.96688
"607320",G06007320,"0607320","06",California,"07320",San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East) PUMA,"0607320",,-116.98973,32.63988
"607316",G06007316,"0607316","06",California,"07316",San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park) PUMA,"0607316",,-117.14715,32.72899
"607309",G06007309,"0607309","06",California,"07309",San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities PUMA,"0607309",,-117.18764,33.02774
"607304",G06007304,"0607304","06",California,"07304",San Diego County (Northwest)--Carlsbad City PUMA,"0607304",,-117.28440,33.13311
"607301",G06007301,"0607301","06",California,"07301",San Diego County (Northwest)--Oceanside City & Camp Pendleton PUMA,"0607301",,-117.39693,33.34068
"607313",G06007313,"0607313","06",California,"07313",San Diego County (Central)--El Cajon & Santee Cities PUMA,"0607313",,-116.96023,32.81590
"607321",G06007321,"0607321","06",California,"07321",San Diego County (Southwest)--Chula Vista (West) & National City Cities PUMA,"0607321",,-117.07992,32.63790
"607315",G06007315,"0607315","06",California,"07315",San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PUMA,"0607315",,-117.16906,32.80503
"607312",G06007312,"0607312","06",California,"07312",San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) PUMA,"0607312",,-117.14995,32.87660
"607311",G06007311,"0607311","06",California,"07311",San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa) PUMA,"0607311",,-117.19073,32.93416
"607306",G06007306,"0607306","06",California,"07306",San Diego County (Northwest)--Escondido City (East) PUMA,"0607306",,-117.01789,33.13087
"607318",G06007318,"0607318","06",California,"07318",San Diego County (South)--San Diego City (Southeast/Encanto & Skyline) PUMA,"0607318",,-117.06087,32.69707
"607308",G06007308,"0607308","06",California,"07308",San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities PUMA,"0607308",,-117.03391,32.98713
"607314",G06007314,"0607314","06",California,"07314",San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities PUMA,"0607314",,-117.04381,32.83911
"607317",G06007317,"0607317","06",California,"07317",San Diego County (South Central)--San Diego City (Central/Mid-City) PUMA,"0607317",,-117.08762,32.75223
"607305",G06007305,"0607305","06",California,"07305",San Diego County (Northwest)--San Marcos & Escondido (West) Cities PUMA,"0607305",,-117.15714,33.13056
"607303",G06007303,"0607303","06",California,"07303",San Diego County (Northwest)--Vista City PUMA,"0607303",,-117.21077,33.21084
"607901",G06007901,"0607901","06",California,"07901",San Luis Obispo County (West)--Coastal Region PUMA,"0607901",,-120.86872,35.40144
"607902",G06007902,"0607902","06",California,"07902",San Luis Obispo County (East)--Inland Region PUMA,"0607902",,-120.30389,35.38394
"611300",G06011300,"0611300","06",California,"11300","Yolo County--Davis, Woodland & West Sacramento Cities PUMA","0611300",,-121.90162,38.68665
"608104",G06008104,"0608104","06",California,"08104",San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA,"0608104",,-122.33672,37.36250
"608101",G06008101,"0608101","06",California,"08101","San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town PUMA","0608101",,-122.47555,37.63670
"608501",G06008501,"0608501","06",California,"08501","Santa Clara County (Northwest)--Mountain View, Palo Alto & Los Altos Cities PUMA","0608501",,-122.11695,37.35459
"608106",G06008106,"0608106","06",California,"08106","San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA","0608106",,-122.22545,37.42519
"608105",G06008105,"0608105","06",California,"08105","San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA","0608105",,-122.24864,37.50226
"608103",G06008103,"0608103","06",California,"08103","San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA","0608103",Tonga,-122.36164,37.57468
"608102",G06008102,"0608102","06",California,"08102","San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PUMA","0608102",,-122.41791,37.65322
"610703",G06010703,"0610703","06",California,"10703","Tulare County (Outside Visalia, Tulare & Porterville Cities) PUMA","0610703",,-118.74208,36.22349
"610702",G06010702,"0610702","06",California,"10702",Tulare County (West Central)--Tulare & Porterville Cities PUMA,"0610702",,-119.23631,36.13722
"610701",G06010701,"0610701","06",California,"10701",Tulare County (Northwest)--Visalia City PUMA,"0610701",,-119.34913,36.35987
"603900",G06003900,"0603900","06",California,"03900",Madera County--Madera City PUMA,"0603900",,-119.76265,37.21804
"608506",G06008506,"0608506","06",California,"08506","Santa Clara County (East)--Gilroy, Morgan Hill & San Jose (South) Cities PUMA","0608506",,-121.55414,37.18910
"608507",G06008507,"0608507","06",California,"08507","Santa Clara County (Southwest)--Cupertino, Saratoga Cities & Los Gatos Town PUMA","0608507",,-121.96313,37.20853
"608512",G06008512,"0608512","06",California,"08512",Santa Clara County (Central)--San Jose City (Southwest/Almaden Valley) PUMA,"0608512",,-121.83053,37.20961
"608505",G06008505,"0608505","06",California,"08505",Santa Clara County (North Central)--San Jose City (East Central) & Alum Rock PUMA,"0608505",,-121.80217,37.37444
"608513",G06008513,"0608513","06",California,"08513",Santa Clara County (Central)--San Jose City (Southeast/Evergreen) PUMA,"0608513",,-121.76671,37.28470
"608508",G06008508,"0608508","06",California,"08508",Santa Clara County (Central)--San Jose (West Central) & Campbell Cities PUMA,"0608508",,-121.97252,37.29476
"608514",G06008514,"0608514","06",California,"08514",Santa Clara County (Central)--San Jose City (East Central/East Valley) PUMA,"0608514",,-121.83843,37.34239
"608511",G06008511,"0608511","06",California,"08511",Santa Clara County (Central)--San Jose City (South Central/Branham) & Cambrian Park PUMA,"0608511",,-121.88244,37.25807
"608503",G06008503,"0608503","06",California,"08503",Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities PUMA,"0608503",,-121.95414,37.37409
"608510",G06008510,"0608510","06",California,"08510",Santa Clara County (Central)--San Jose City (Central) PUMA,"0608510",,-121.87851,37.29636
"608509",G06008509,"0608509","06",California,"08509",Santa Clara County (Central)--San Jose City (Northwest) PUMA,"0608509",,-121.90556,37.33843
"605303",G06005303,"0605303","06",California,"05303",Monterey (South & East) & San Benito Counties PUMA,"0605303",,-121.10424,36.28705
"605301",G06005301,"0605301","06",California,"05301","Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUMA","0605301",,-121.72319,36.55762
"605302",G06005302,"0605302","06",California,"05302",Monterey County (Northeast)--Salinas City PUMA,"0605302",,-121.59313,36.70483
"607501",G06007501,"0607501","06",California,"07501",San Francisco County (North & West)--Richmond District PUMA,"0607501",,-122.47861,37.78143
"607506",G06007506,"0607506","06",California,"07506",San Francisco County (South Central)--Sunset District (South) PUMA,"0607506",,-122.46840,37.72678
"607505",G06007505,"0607505","06",California,"07505",San Francisco County (Central)--Sunset District (North) PUMA,"0607505",Hong Kong,-122.47944,37.75332
"607504",G06007504,"0607504","06",California,"07504",San Francisco County (Central)--Inner Mission & Castro PUMA,"0607504",,-122.42850,37.75463
"607502",G06007502,"0607502","06",California,"07502",San Francisco County (North & East)--North Beach & Chinatown PUMA,"0607502",,-122.41045,37.80237
