step,lat,lon,zoom,name
0,37.90144324,-100.13167,3.535510138,usa
1,40.78936472,-73.8898531,9.329649526,nyc
2,40.63458801,-73.95317788,11.18241386,nyc-brooklyn
3,40.71564013,-73.83284377,11.18241386,nyc-queens
4,40.78669019,-73.93994484,11.18241386,nyc-manhattan-bronx
5,33.9448052,-118.1991439,8.535510138,la-1
6,26.05307862,-80.13596104,8.535510138,fl-1
7,29.76568373,-95.36902625,8.535510138,hou-1
8,44.98549478,-93.29729629,8.687238387,minneapolis
