,puma_code,puma_pop,birthplace,person_wt,diaspora_pct,rank
2100,00115,101163.0,Ireland,793.0,0.007838834356434664,1.0
3449,00132,124639.0,Singapore,671.0,0.005383547685716349,1.0
4380,00207,104242.0,Micronesia,997.0,0.009564283110454519,1.0
8542,00508,119129.0,Brazil,6141.0,0.05154916099354481,1.0
8623,00508,119129.0,Uganda,1603.0,0.013456001477390057,1.0
12722,00824,129413.0,Zimbabwe,773.0,0.005973124801990527,1.0
19807,01316,163389.0,Congo,2183.0,0.01336075255984185,1.0
20976,01403,221961.0,Guinea,1589.0,0.007158915304940958,1.0
21032,01403,221961.0,Sierra Leone,1312.0,0.0059109483197498655,1.0
21113,01404,218172.0,Liberia,7089.0,0.032492712172047744,1.0
21224,01405,147423.0,Northern Ireland,352.0,0.0023876871315873373,1.0
21283,01406,140201.0,Kenya,3334.0,0.023780144221510546,1.0
21308,01406,140201.0,Somalia,7857.0,0.05604096975057239,1.0
21484,01409,117363.0,"Europe, ns.",455.0,0.003876860680112131,1.0
21500,01409,117363.0,Libya,1181.0,0.010062796622444893,1.0
21599,01410,122604.0,Togo,970.0,0.007911650517112003,1.0
23460,01705,126892.0,Gambia,2499.0,0.019693912933833498,1.0
24455,01807,273927.0,Bosnia,5788.0,0.02112971704140154,1.0
28339,02307,289343.0,Burma (Myanmar),10772.0,0.037229170914796626,1.0
28969,02313,123341.0,Sweden,594.0,0.004815916848412126,1.0
29427,02321,122092.0,Nepal,3164.0,0.02591488385807424,1.0
30534,02504,253795.0,South Sudan,2565.0,0.010106582083965405,1.0
30878,02509,155668.0,"Africa, ns/nec",2446.0,0.01571292751239818,1.0
31142,02512,111343.0,Eritrea,1514.0,0.013597621763379827,1.0
31356,02515,114552.0,Iceland,318.0,0.002776031845799288,1.0
32752,02803,121614.0,Puerto Rico,17769.0,0.14610982288223395,1.0
32756,02803,121614.0,Syria,2651.0,0.02179847714901245,1.0
36455,03203,641555.0,Lebanon,14756.0,0.023000366297511517,1.0
37715,03213,122721.0,Yemen Arab Republic (North),10310.0,0.08401170133880917,1.0
39828,03407,175509.0,Kosovo,584.0,0.0033274646884205368,1.0
39962,03409,153040.0,"Asia, nec/ns",1975.0,0.012905122843700993,1.0
40065,03410,177211.0,Jordan,1751.0,0.009880876469293667,1.0
40072,03410,177211.0,Lithuania,1688.0,0.00952536806405923,1.0
40675,03419,118894.0,Bulgaria,2507.0,0.021086009386512356,1.0
41014,03422,129516.0,Poland,16340.0,0.12616201859229748,1.0
41669,03520,132788.0,Algeria,618.0,0.004654035003162936,1.0
42061,03525,144954.0,Austria,647.0,0.004463484967644908,1.0
44592,03714,109372.0,Indonesia,1844.0,0.01685989101415353,1.0
44843,03717,197093.0,Taiwan,15521.0,0.07874962581116529,1.0
44969,03719,202268.0,Armenia,27021.0,0.13359008839757153,1.0
45004,03719,202268.0,Iran,28827.0,0.14251883639527754,1.0
45713,03726,100656.0,Czechoslovakia,283.0,0.0028115561913845174,1.0
45917,03728,103542.0,England,1537.0,0.014844217805335033,1.0
46509,03733,125389.0,Korea,21516.0,0.17159399947363804,1.0
46518,03733,125389.0,Mongolia,1234.0,0.009841373645216088,1.0
46582,03734,214886.0,Guatemala,18690.0,0.08697635025083067,1.0
46841,03737,127682.0,China,30656.0,0.24009648971663977,1.0
47407,03747,157161.0,Belize/British Honduras,1936.0,0.012318577764203588,1.0
47696,03750,193446.0,El Salvador,19425.0,0.10041561986290748,1.0
48485,03761,128807.0,Japan,5513.0,0.04280046891861467,1.0
48608,03762,114920.0,Philippines,17257.0,0.1501653324051514,1.0
49175,03769,97375.0,Cambodia (Kampuchea),4640.0,0.04765083440308087,1.0
49392,03801,332885.0,Dominican Republic,73001.0,0.2192979557504844,1.0
49668,03803,147389.0,Senegal,1056.0,0.007164713784610792,1.0
49688,03803,147389.0,"Western Africa, ns",3139.0,0.02129738311542924,1.0
49860,03805,214293.0,Romania,2588.0,0.012076922717960922,1.0
49993,03807,152401.0,Australia,2190.0,0.01436998444892094,1.0
50120,03808,150209.0,France,2801.0,0.018647351357109095,1.0
50376,03810,149082.0,"United Kingdom, ns",2739.0,0.018372439328691592,1.0
50542,03901,159206.0,Italy,5382.0,0.03380525859578157,1.0
50586,03902,143761.0,Albania,2538.0,0.017654301236079327,1.0
50624,03902,143761.0,Macedonia,1782.0,0.012395573208311016,1.0
50633,03902,143761.0,Montenegro,1793.0,0.012472089092312936,1.0
50745,03903,175919.0,Sri Lanka (Ceylon),1287.0,0.007315866961499326,1.0
50782,04000,807425.0,Cape Verde,17206.0,0.02130971916896306,1.0
51949,04009,215545.0,"West Indies, ns",4559.0,0.02115103574659584,1.0
51959,04010,140206.0,Barbados,4162.0,0.029684892230004423,1.0
51975,04010,140206.0,Grenada,4273.0,0.030476584454302954,1.0
51981,04010,140206.0,Jamaica,15043.0,0.10729212729840377,1.0
52007,04010,140206.0,St. Lucia,2623.0,0.01870818652554099,1.0
52008,04010,140206.0,St. Vincent,1727.0,0.01231758983210419,1.0
52013,04010,140206.0,Trinidad and Tobago,10385.0,0.0740695833273897,1.0
52079,04011,113255.0,Panama,1505.0,0.013288596529954528,1.0
52344,04014,146580.0,Hungary,2164.0,0.01476326920452995,1.0
52555,04016,171062.0,Kazakhstan,1227.0,0.0071728379184155455,1.0
52557,04016,171062.0,Kirghizia,1211.0,0.0070793045796261,1.0
52561,04016,171062.0,Latvia,790.0,0.004618208602728835,1.0
52641,04017,206099.0,Egypt/United Arab Rep.,3882.0,0.01883560813007341,1.0
52692,04017,206099.0,Republic of Georgia,2826.0,0.013711856923129175,1.0
