,puma_code,puma_pop,birthplace,person_wt,diaspora_pct,rank
52722,04018,121728.0,Azerbaijan,621.0,0.00510153785488959,1.0
52723,04018,121728.0,Byelorussia,2715.0,0.022303824921135647,1.0
52765,04018,121728.0,Other USSR/Russia,10003.0,0.08217501314405888,1.0
52783,04018,121728.0,"USSR, ns",1898.0,0.01559213985278654,1.0
52784,04018,121728.0,Ukraine,19170.0,0.15748225552050474,1.0
52785,04018,121728.0,Uzbekistan,4373.0,0.035924355941114615,1.0
53793,04107,260849.0,Ecuador,25665.0,0.09839025643188205,1.0
54349,04112,249054.0,Bangladesh,14533.0,0.05835280702177038,1.0
54458,04113,139318.0,Guyana/British Guiana,25591.0,0.183687678548357,1.0
54880,04302,245639.0,Azores,7603.0,0.03095192538644108,1.0
55013,04303,129408.0,Portugal,3560.0,0.027509891196834817,1.0
56533,04613,119587.0,Morocco,1877.0,0.015695685985934925,1.0
56667,04615,103215.0,"Americas, ns",693.0,0.0067141403865717195,1.0
56837,04617,124839.0,Finland,924.0,0.007401533174729051,1.0
57206,04623,113189.0,Dominica,797.0,0.007041320269637509,1.0
57317,04624,126195.0,Scotland,738.0,0.005848092238202781,1.0
57699,04630,151895.0,Canada,3774.0,0.02484611080022384,1.0
58190,04636,114406.0,Cameroon,1746.0,0.015261437337202595,1.0
58254,04636,114406.0,Rwanda,1807.0,0.01579462615597084,1.0
58257,04636,114406.0,South Africa (Union of),1222.0,0.01068125797598028,1.0
58277,04637,128631.0,Antigua-Barbuda,740.0,0.005752890049832466,1.0
58421,04638,122699.0,Nigeria,9146.0,0.07454013480142463,1.0
59579,04905,231777.0,Norway,1555.0,0.006709034977586214,1.0
61572,05401,111854.0,"Eastern Africa, nec/ns",679.0,0.0060704132172296026,1.0
63627,05903,339695.0,Netherlands,2045.0,0.006020106271802646,1.0
64794,05913,288549.0,Vietnam,48327.0,0.16748281920921576,1.0
65162,05917,169049.0,Mexico,61465.0,0.36359280445314673,1.0
65474,06002,106350.0,"South America, ns",348.0,0.0032722143864598024,1.0
66404,06503,143932.0,New Zealand,831.0,0.005773559736542256,1.0
67400,06515,153167.0,Paraguay,501.0,0.003270939562699537,1.0
67924,06704,143007.0,Afghanistan,5310.0,0.03713104952904403,1.0
68316,06708,136625.0,Laos,4070.0,0.02978956999085087,1.0
68350,06708,136625.0,Thailand,2487.0,0.018203110704483074,1.0
68372,06709,145160.0,Fiji,3703.0,0.025509782309176082,1.0
71344,07309,176019.0,Denmark,719.0,0.004084786301478818,1.0
71760,07313,187853.0,Iraq,16267.0,0.08659430512155782,1.0
71976,07315,171194.0,Kuwait,1030.0,0.0060165660011449,1.0
72748,07502,112658.0,Bermuda,324.0,0.002875960872729855,1.0
73090,07505,120578.0,Hong Kong,4637.0,0.03845643483885949,1.0
75201,08503,155544.0,India,26700.0,0.17165560870236074,1.0
76237,08601,121769.0,Colombia,10181.0,0.08360912876019348,1.0
76401,08603,106965.0,St. Kitts-Nevis,382.0,0.0035712616276352077,1.0
76419,08604,94937.0,Argentina,5718.0,0.06022941529645976,1.0
76458,08604,94937.0,Israel/Palestine,1829.0,0.019265407586083402,1.0
76516,08605,110194.0,Bahamas,1507.0,0.01367588071945841,1.0
76541,08605,110194.0,Haiti,34840.0,0.31616966441004046,1.0
76667,08607,110286.0,Uruguay,1255.0,0.011379504198175652,1.0
76736,08608,135879.0,Venezuela,19989.0,0.14710882476320844,1.0
76744,08609,103552.0,Cuba,68572.0,0.6621987021013597,1.0
76919,08612,103350.0,Belgium,775.0,0.007498790517658442,1.0
77045,08613,116747.0,Honduras,9986.0,0.08553538848963999,1.0
77066,08613,116747.0,Nicaragua,12917.0,0.11064095865418383,1.0
77165,08614,104933.0,Spain,2784.0,0.026531215156337853,1.0
77189,08615,126131.0,Costa Rica,884.0,0.007008586311057551,1.0
77451,08619,106121.0,Chile,1585.0,0.01493578085393089,1.0
77569,08620,99031.0,Switzerland,497.0,0.005018630529834092,1.0
77633,08621,121454.0,Peru,4004.0,0.03296721392461344,1.0
78953,09505,123883.0,Zambia,448.0,0.0036163153943640372,1.0
79028,09506,125242.0,U.S. Virgin Islands,2204.0,0.017597930406732566,1.0
79037,09506,125242.0,Yugoslavia,747.0,0.0059644528193417545,1.0
79055,09507,126161.0,Czech Republic,821.0,0.006507557803124579,1.0
79332,09510,128871.0,"Caribbean, ns",1047.0,0.008124403473240683,1.0
81872,10303,114264.0,Greece,1458.0,0.01275992438563327,1.0
82320,10307,162001.0,Serbia,1971.0,0.012166591564249603,1.0
84894,11402,109563.0,Germany,2319.0,0.021165904548068236,1.0
85338,11504,134766.0,Moldavia,2006.0,0.014885060029977887,1.0
85349,11504,134766.0,Northern Mariana Islands,1117.0,0.008288440704628764,1.0
85361,11504,134766.0,"Samoa, 1940-1950",583.0,0.00432601694789487,1.0
86118,11605,140691.0,Tunisia,394.0,0.0028004634269427325,1.0
86973,11614,119849.0,Marshall Islands,1275.0,0.010638386636517618,1.0
87973,11802,135362.0,Guam,1520.0,0.011229148505488985,1.0
88747,35001,105829.0,American Samoa,912.0,0.00861767568435873,1.0
88761,35001,105829.0,Croatia,881.0,0.008324750304736887,1.0
88980,35003,113003.0,Tanzania,687.0,0.0060794846154526875,1.0
88982,35003,113003.0,Tonga,2149.0,0.019017194233781405,1.0
89081,35005,158917.0,Bhutan,2423.0,0.015246952811845177,1.0
89511,40101,111389.0,Saudi Arabia,2420.0,0.02172566411405076,1.0
89787,41004,100675.0,Malaysia,873.0,0.00867146759374224,1.0
89922,49001,138057.0,Other n.e.c.,934.0,0.006765321570076128,1.0
91397,51110,134160.0,Zaire,937.0,0.006984197972570065,1.0
91803,51145,152157.0,United Arab Emirates,928.0,0.006098963570522553,1.0
91967,51155,110705.0,Slovakia,562.0,0.005076554807822591,1.0
92232,51167,121319.0,Turkey,1873.0,0.015438636981841261,1.0
93093,51246,251287.0,Ghana,5436.0,0.02163263519402118,1.0
93214,51255,159998.0,Ethiopia,8186.0,0.05116313953924424,1.0
93237,51255,159998.0,Ivory Coast,1259.0,0.007868848360604508,1.0
93845,59301,145505.0,Bolivia,4549.0,0.03126353046287069,1.0
94638,59307,167601.0,Sudan,1670.0,0.009964141025411544,1.0
94851,59309,114418.0,Pakistan,4448.0,0.0388750021849709,1.0
