PUMA,Name,state_puma,birthplace,X,Y,non_specific,birthplace_edited
8103,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA",608103,Tonga,-122.36164,37.57468,,Tonga
7505,San Francisco County (Central)--Sunset District (North) PUMA,607505,Hong_Kong,-122.47944,37.75332,,Hong Kong
9503,Solano County (Northeast)--Vacaville & Dixon Cities PUMA,609503,England,-121.84271,38.33059,,England
6704,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park PUMA",606704,Afghanistan,-121.38133,38.65187,,Afghanistan
6709,"Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna) PUMA",606709,Fiji,-121.48598,38.48319,,Fiji
5912,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA",605912,Vietnam,-117.99766,33.76789,,Vietnam
3727,Los Angeles County (Central)--LA City (Central/Pacific Palisades) PUMA,603727,Israel,-118.45092,34.10963,,Israel/Palestine
3719,Los Angeles County (Central)--Glendale City PUMA,603719,Armenia,-118.24677,34.18182,,Armenia
3719,Los Angeles County (Central)--Glendale City PUMA,603719,Iran,-118.24677,34.18182,,Iran
3714,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUMA",603714,Taiwan,-117.85952,33.98289,,Taiwan
3746,Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park) PUMA,603746,Belize,-118.29811,34.02894,,Belize/British Honduras
3742,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUMA",603742,Mexico,-118.22321,33.98499,,Mexico
3734,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake) PUMA",603734,Guatemala,-118.26084,34.08127,,Guatemala
306,Honolulu County--Moanalua to Pearl City PUMA,1500306,Marshall_Islands,-157.91284,21.383,,Marshall Islands
305,Honolulu County--Nuuanu to Kalihi PUMA,1500305,Micronesia,-157.84376,21.34119,,Micronesia
304,Honolulu County--Tantalus to Waikiki PUMA,1500304,Japan,-157.81887,21.31144,,Japan
307,Honolulu County--Central Oahu PUMA,1500307,Philippines,-157.98065,21.46603,,Philippines
1302,Portland City (East) PUMA,4101302,Kazakhstan,-122.55422,45.54415,,Kazakhstan
11504,"Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway PUMA",5311504,Northern_Mariana_Islands,-122.4114,47.13438,,Northern Mariana Islands
11802,Kitsap County (South)--Bremerton & Port Orchard Cities PUMA,5311802,Guam,-122.72071,47.51555,,Guam
118,Phoenix City--Downtown & Sky Harbor International Airport PUMA,400118,Rwanda,-112.04492,33.45037,,Rwanda
2301,Regional Planning Commission 4--Jefferson Parish (Central) PUMA,2202301,"North_Africa,_ns",-90.17794,29.99869,1,"North Africa, ns"
1003,Oklahoma County (Northeast)--Edmond & Oklahoma City (North Central) Cities PUMA,4001003,Bermuda,-97.37366,35.67066,,Bermuda
601,Comanche County (Central)--Lawton City PUMA,4000601,Germany,-98.42618,34.58461,,Germany
3208,Memphis City (Southwest) PUMA,4703208,Guinea,-90.07812,35.03989,,Guinea
2511,Fort Worth City (North)--East of I-35W & West of US-377 PUMA,4802511,Austria,-97.28382,32.92712,,Austria
3501,Central Texas COG--Bell County (West)--Killeen & Harker Heights Cities PUMA,4803501,Netherlands,-97.71554,31.07729,,Netherlands
2321,Dallas County (Northwest)--Irving (Central) & Dallas (Northwest) Cities PUMA,4802321,Nepal,-96.97098,32.86831,,Nepal
4902,Fort Bend County (Northeast)--Sugar Land & Stafford Cities PUMA,4804902,Turkey,-95.61113,29.60027,,Turkey
4904,"Fort Bend County (North)--Mission Bend (Southwest), Cinco Ranch & Four Corners PUMA",4804904,Nigeria,-95.71611,29.68914,,Nigeria
4614,"Houston City (West)--Westpark Tollway, Between Loop I-610 & Beltway TX-8 PUMA",4804614,Eritrea,-95.50626,29.71817,,Eritrea
4617,Houston City (South)--Between Loop I-610 & Beltway TX-8 PUMA,4804617,Kuwait,-95.39175,29.6276,,Kuwait
4621,"Houston (Southeast), Pasadena (Southeast), La Porte (South) & Seabrook (East) Cities PUMA",4804621,Norway,-95.07745,29.60883,,Norway
1103,"Broward County--Deerfield, Pompano Beach (North) & Lighthouse Point Cities PUMA",1201103,Brazil,-80.12161,26.29765,,Brazil
1111,"Broward County--Weston, Pembroke Pines (Northwest) Cities & Southwest Ranches Town PUMA",1201111,Colombia,-80.38977,26.06609,,Colombia
9908,Palm Beach County (Southeast)--Boca Raton City & Highland Beach Town PUMA,1209908,Czech_Republic,-80.11445,26.37981,,Czech Republic
9908,Palm Beach County (Southeast)--Boca Raton City & Highland Beach Town PUMA,1209908,St_Kitts-Nevis,-80.11445,26.37981,,St. Kitts-Nevis
102,Alachua County (Outer) PUMA,1200102,Paraguay,-82.35944,29.67572,,Paraguay
9701,Osceola County (West) PUMA,1209701,"Caribbean,_ns",-81.48158,28.24237,1,"Caribbean, ns"
9701,Osceola County (West) PUMA,1209701,Puerto_Rico,-81.48158,28.24237,,Puerto Rico
8700,Miami-Dade (South/Outside Urban Development Boundary) & Monroe Counties PUMA,1208700,Slovakia,-80.82252,25.50358,,Slovakia
9506,Orange County (Central)--Orlando City (West Downtown) & Pine Hills (Southeast) PUMA,1209506,"Americas,_ns",-81.43761,28.53747,1,"Americas, ns"
8603,Miami-Dade County (Northeast)--Greater North Miami Beach City (West) PUMA,1208603,Bahamas,-80.17204,25.93766,,Bahamas
8614,Miami-Dade County (East)--Miami City (East) & Key Biscayne Village PUMA,1208614,Argentina,-80.20264,25.73126,,Argentina
8604,Miami-Dade County (Northeast)--Aventura City & Surfside Town PUMA,1208604,Chile,-80.13886,25.92876,,Chile
8609,Miami-Dade County (Northeast)--Hialeah City (South Central) PUMA,1208609,Cuba,-80.2892,25.85514,,Cuba
8608,"Miami-Dade County (North Central)--Doral, Sweetwater Cities & Fontainebleau PUMA",1208608,Venezuela,-80.41192,25.83553,,Venezuela
8605,Miami-Dade County--North Miami City (Southwest) & Golden Glades (West) PUMA,1208605,Haiti,-80.20308,25.90684,,Haiti
8613,Miami-Dade County (Northeast Central)--Miami City (Downtown) PUMA,1208613,Honduras,-80.21075,25.78319,,Honduras
8613,Miami-Dade County (Northeast Central)--Miami City (Downtown) PUMA,1208613,Nicaragua,-80.21075,25.78319,,Nicaragua
4001,Atlanta Regional Commission (Northeast)--Gwinnett County (West Central)--Duluth City PUMA,1304001,Congo,-84.17516,33.97404,,Congo
4004,Atlanta Regional Commission (Northeast)--Gwinnett County (East) PUMA,1304004,Singapore,-83.90985,33.9815,,Singapore
1008,Atlanta Regional Commission (Central)--DeKalb County (South) PUMA,1301008,US_Virgin_Islands,-84.22101,33.67646,,U.S. Virgin Islands
815,Denver City (Southeast) PUMA,800815,Libya,-104.90465,39.68594,,Libya
824,DRCOG East Plains--Arapahoe (East) & Adams (East) Counties--Aurora City (Northeast) PUMA,800824,Mongolia,-104.30613,39.90017,,Mongolia
600,Canyon (East) & Ada (West) Counties--Nampa (Central & East) & Meridian (West) Cities PUMA,1600600,"South_America,_ns",-116.50298,43.61793,1,"South America, ns"
3204,DuPage County (Southeast)--Downers Grove Township PUMA,1703204,Lithuania,-87.97592,41.75499,,Lithuania
3422,"Cook County (West)--Leyden, Norwood Park (South) Townships & Chicago City--O'Hare PUMA",1703422,Poland,-87.86945,41.95215,,Poland
3419,Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships PUMA,1703419,Bulgaria,-87.976,42.03827,,Bulgaria
3418,Cook County (Northwest)--Schaumburg Township (South & Central) PUMA,1703418,Yugoslavia,-88.08433,42.02394,,Yugoslavia
3410,"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA",1703410,"Asia,_nec/ns",-87.87977,41.65008,1,"Asia, nec/ns"
