PUMA,Name,state_puma,birthplace,X,Y,non_specific,birthplace_edited
3504,"Chicago City (Northwest)--Irving Park, Albany Park, Forest Glen & North Park PUMA",1703504,Serbia,-87.73349,41.97504,,Serbia
3503,"Chicago City (North)--West Ridge, Lincoln Square & North Center PUMA",1703503,Malaysia,-87.6899,41.9798,,Malaysia
104,Lake County (South) PUMA,1800104,Macedonia,-87.38656,41.32605,,Macedonia
2302,Marion County--Washington Township (South & East)--Indianapolis City (North) PUMA,1802302,Zambia,-86.13604,39.87122,,Zambia
1200,"Marshall, Benton, Poweshiek, Tama & Iowa Counties PUMA",1901200,"Europe,_ns.",-92.42508,41.92766,1,"Europe, ns."
1100,Johnson County--Iowa City PUMA,1901100,Sudan,-91.58808,41.67155,,Sudan
1303,Ramsey County (Southeast)--St. Paul City (East) PUMA,2701303,Laos,-93.05626,44.94553,,Laos
1303,Ramsey County (Southeast)--St. Paul City (East) PUMA,2701303,Thailand,-93.05626,44.94553,,Thailand
1503,Dakota County (West)--Burnsville & Apple Valley Cities PUMA,2701503,Togo,-93.24841,44.75723,,Togo
1406,Hennepin County--Minneapolis City (Southeast) PUMA,2701406,Somalia,-93.23854,44.92919,,Somalia
1403,"Hennepin County--Brooklyn Park, Maple Grove (East) & Osseo Cities PUMA",2701403,Liberia,-93.38822,45.11341,,Liberia
1410,Hennepin County--Bloomington & Richfield Cities PUMA,2701410,Kenya,-93.29759,44.84315,,Kenya
902,"Kansas City (North Central), Gladstone City & North Kansas City PUMA",2900902,South_Sudan,-94.55163,39.21816,,South Sudan
500,Cass County--Fargo City PUMA,3800500,Iceland,-97.24804,46.93297,,Iceland
57002,Weber County (East)--Ogden (Southeast) & South Ogden Cities PUMA,4957002,Belgium,-111.73163,41.29779,,Belgium
35003,"Salt Lake County--West Valley City (Central), Salt Lake City (South Central) & Kearns PUMA",4935003,"Samoa,_1940-1950",-111.99488,40.7042,1,"Samoa, 1940-1950"
35008,"Salt Lake County (Southeast)--Sandy (North), Cottonwood Heights & Midvale Cities PUMA",4935008,New_Zealand,-111.71551,40.60456,,New Zealand
50000,Walworth County PUMA,5550000,Kosovo,-88.54192,42.66848,,Kosovo
41002,Milwaukee City (North Central) PUMA,5541002,Gambia,-87.98008,43.0857,,Gambia
41005,Milwaukee City (South) PUMA,5541005,Myanmar,-87.93658,42.97126,,Burma (Myanmar)
40101,Milwaukee County (Northeast) PUMA,5540101,Saudi_Arabia,-87.92183,43.13657,,Saudi Arabia
104,Bridgeport Town PUMA,900104,Zaire,-73.19609,41.19275,,Zaire
301,Manchester & East Hartford Towns PUMA,900301,St_Lucia,-72.56094,41.77054,,St. Lucia
100,Northeast Maine--Aroostook & Washington Counties PUMA,2300100,Canada,-68.32792,46.20214,,Canada
1000,"Cumberland County (Southeast)--Portland, South Portland & Westbrook Cities PUMA",2301000,Finland,-70.30221,43.67301,,Finland
600,Androscoggin County PUMA,2300600,"Eastern_Africa,_nec/ns",-70.20644,44.16585,1,"Eastern Africa, nec/ns"
1103,Prince George's County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities PUMA,2401103,Cameroon,-76.91702,38.95315,,Cameroon
1105,"Prince George's County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham PUMA",2401105,Sierra_Leone,-76.76764,38.89625,,Sierra Leone
1002,Montgomery County (West Central)--Germantown & Montgomery Village PUMA,2401002,Peru,-77.2262,39.18032,,Peru
1005,"Montgomery County (East Central)--Wheaton, Aspen Hill & Glenmont PUMA",2401005,Zimbabwe,-77.06908,39.06469,,Zimbabwe
1007,Montgomery County (Southeast)--Takoma Park City & Silver Spring PUMA,2401007,Ethiopia,-77.01984,39.00406,,Ethiopia
4000,"Plymouth & Norfolk Counties--Brockton City, Stoughton & Avon Towns PUMA",2504000,Cape_Verde,-71.05694,42.10122,,Cape Verde
503,"Middlesex County--Waltham City, Lexington, Burlington, Bedford & Lincoln Towns PUMA",2500503,Uganda,-71.25396,42.4501,,Uganda
502,Middlesex County (Far Northeast)--Lowell City PUMA,2500502,Cambodia,-71.32171,42.63887,,Cambodia (Kampuchea)
4302,Bristol County (Central)--Fall River City & Somerset Town PUMA,2504302,Azores,-71.1091,41.71974,,Azores
4500,Bristol County (South)--New Bedford City & Fairhaven Town PUMA,2504500,Portugal,-70.91668,41.65933,,Portugal
301,"Worcester County (Northeast)--Leominster, Fitchburg & Gardner Cities PUMA",2500301,Uruguay,-71.83773,42.56535,,Uruguay
1901,Hampden County (West of Springfield City)--Westfield & Holyoke Cities PUMA,2501901,Kirghizia,-72.71229,42.11774,,Kirghizia
3203,Wayne County (Central)--Dearborn & Dearborn Heights Cities PUMA,2603203,Lebanon,-83.23366,42.31388,,Lebanon
3203,Wayne County (Central)--Dearborn & Dearborn Heights Cities PUMA,2603203,Yemen_Arab_Republic,-83.23366,42.31388,,Yemen Arab Republic (North)
3003,Macomb County (Southwest)--Sterling Heights City PUMA,2603003,Iraq,-83.03037,42.58099,,Iraq
800,Manchester City PUMA,3300800,Northern_Ireland,-71.44453,42.98445,,Northern Ireland
1301,Essex County (Southeast)--Newark City (North & East) PUMA,3401301,Ecuador,-74.16111,40.72598,,Ecuador
502,Passaic County (Central)--Hawthorne Borough & Clifton City (Northwest) PUMA,3400502,Jordan,-74.20544,40.91574,,Jordan
902,Middlesex County (Southwest) PUMA,3400902,India,-74.52026,40.37418,,India
1902,Union County (Northwest)--Summit City & Westfield Town (North) PUMA,3401902,Costa_Rica,-74.3681,40.68693,,Costa Rica
303,"Bergen County (Southeast)--Fort Lee, Cliffside Park & Palisades Park Boroughs PUMA",3400303,Korea,-73.99696,40.84185,,Korea
3810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",3603810,Denmark,-74.00723,40.71738,,Denmark
3810,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",3603810,"United_Kingdom,_ns",-74.00723,40.71738,1,"United Kingdom, ns"
3807,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",3603807,Scotland,-73.99214,40.75402,,Scotland
3806,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,3603806,France,-73.9723,40.78418,,France
3802,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",3603802,Switzerland,-73.95578,40.81673,,Switzerland
3803,NYC-Manhattan Community District 10--Central Harlem PUMA,3603803,Ivory_Coast,-73.94445,40.81338,,Ivory Coast
3808,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",3603808,Australia,-73.97508,40.74535,,Australia
3901,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",3603901,Italy,-74.18712,40.54482,,Italy
3902,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,3603902,Montenegro,-74.13373,40.59363,,Montenegro
3903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",3603903,"Africa,_ns/nec",-74.11906,40.627,1,"Africa, ns/nec"
3903,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",3603903,Sri_Lanka,-74.11906,40.627,,Sri Lanka (Ceylon)
3206,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,3603206,El_Salvador,-73.59634,40.69093,,El Salvador
3702,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",3603702,Jamaica,-73.86173,40.88994,,Jamaica
3705,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",3603705,Senegal,-73.88764,40.8454,,Senegal
3708,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",3603708,Dominica,-73.92147,40.83252,,Dominica
3704,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",3603704,Albania,-73.85256,40.85617,,Albania
3707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",3603707,Antigua-Barbuda,-73.90977,40.85217,,Antigua-Barbuda
3707,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",3603707,Dominican_Republic,-73.90977,40.85217,,Dominican Republic
4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,3604018,Azerbaijan,-73.98098,40.58148,,Azerbaijan
4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,3604018,Byelorussia,-73.98098,40.58148,,Byelorussia
4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,3604018,Other_USSR/Russia,-73.98098,40.58148,1,Other USSR/Russia
4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,3604018,Republic_of_Georgia,-73.98098,40.58148,,Republic of Georgia
4018,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,3604018,Ukraine,-73.98098,40.58148,,Ukraine
4016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",3604016,Syria,-73.94869,40.59495,,Syria
4016,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",3604016,Moldavia,-73.94869,40.59495,,Moldavia
4015,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,3604015,Pakistan,-73.95914,40.6304,,Pakistan
4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",3604010,Barbados,-73.9343,40.64768,,Barbados
4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",3604010,Grenada,-73.9343,40.64768,,Grenada
4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",3604010,St_Vincent,-73.9343,40.64768,,St. Vincent
4010,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",3604010,Trinidad_and_Tobago,-73.9343,40.64768,,Trinidad and Tobago
3101,Putnam County PUMA,3603101,Czechoslovakia,-73.74899,41.426,,Czechoslovakia
402,Oneida County (Central)--Greater Utica & Rome Cities PUMA,3600402,Bosnia,-75.38474,43.14106,,Bosnia
3106,Westchester County (Southwest)--Yonkers City PUMA,3603106,Ireland,-73.8637,40.9465,,Ireland
4110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",3604110,Romania,-73.88949,40.71042,,Romania
4108,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,3604108,Uzbekistan,-73.85172,40.72266,,Uzbekistan
4101,NYC-Queens Community District 1--Astoria & Long Island City PUMA,3604101,Greece,-73.9178,40.76867,,Greece
4106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",3604106,Bangladesh,-73.79621,40.72586,,Bangladesh
4113,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,3604113,Guyana,-73.833,40.6694,,Guyana/British Guiana
4103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",3604103,China,-73.81571,40.77149,,China
4114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",3604114,Panama,-73.81955,40.59407,,Panama
1000,"Lake County (West)--Eastlake, Wickliffe, Willoughby & Willowick Cities PUMA",3901000,Croatia,-81.39289,41.62242,,Croatia
5503,Cincinnati City (West) PUMA,3905503,"Western_Africa,_ns",-84.58153,39.14146,1,"Western Africa, ns"
4105,Columbus City (Central) PUMA,3904105,Algeria,-83.01277,40.00278,,Algeria
902,"Cuyahoga County (West)--Berea, Brook Park, Lakewood & Rocky River Cities PUMA",3900902,Hungary,-81.83202,41.41623,,Hungary
901,"Cuyahoga County--Olmsted Township, Bay Village, North Olmsted & Westlake Cities PUMA",3900901,United_Arab_Emirates,-81.92514,41.42259,,United Arab Emirates
3201,Philadelphia City (Far Northeast) PUMA,4203201,"USSR,_ns",-75.01105,40.08439,1,"USSR, ns"
3211,Philadelphia City (Southeast) PUMA,4203211,Indonesia,-75.16582,39.91216,,Indonesia
3211,Philadelphia City (Southeast) PUMA,4203211,South_Africa,-75.16582,39.91216,,South Africa
1806,Allegheny County (South Central)--Baldwin & Whitehall Boroughs PUMA,4201806,Bhutan,-80.02515,40.37909,,Bhutan
1604,Knox County (West)--Farragut Town PUMA,4701604,Sweden,-84.12607,35.91356,,Sweden
59301,"Fairfax County (East Central)--Annandale, West Falls Church & Bailey's Crossroads PUMA",5159301,Bolivia,-77.17559,38.83757,,Bolivia
51246,"Prince William County (Southeast)--Dale City, Lake Ridge & Woodbridge PUMA",5151246,Ghana,-77.32004,38.62276,,Ghana
51224,"Henrico County (South & East)--Highland Springs, East Highland Park & Glen Allen PUMA",5151224,"West_Indies,_ns",-77.34383,37.50677,1,"West Indies, ns"
10703,Loudoun County (West & South)--Leesburg Town PUMA,5110703,Latvia,-77.67305,39.11056,,Latvia
10701,Loudoun County (Northeast)--Sterling & Ashburn (Northeast/Ashburn Village) PUMA,5110701,Tunisia,-77.41745,39.033,,Tunisia
59302,"Fairfax County (Southeast)--Woodlawn, Rose Hill & Mount Vernon PUMA",5159302,Morocco,-77.09179,38.75192,,Morocco
101,Anchorage Municipality (North) PUMA,200101,American_Samoa,-149.05832,61.24994,,American Samoa
7101,San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities PUMA,607101,Other_n.e.c.,-116.04897,34.90648,1,Other n.e.c.
200,Panhandle Regional Planning Commission--Potter County--Amarillo City (North) PUMA,4800200,Tanzania,-101.894,35.40127,,Tanzania
2900,Bartholomew & Jackson Counties--Columbus City PUMA,1802900,Spain,-85.97534,39.03957,,Spain
2501,Nashville-Davidson (East) PUMA,4702501,Egypt,-86.62463,36.13777,,Egypt/United Arab Rep.
